age,HH,HU,HD,UH,UU,UD,lh,lu,lx,prevalence_point,Lh,Lu,Lx,prevalence_interval,prevalence
50,0.9996447647248409,3.3805436237923953e-4,1.7180912779835624e-5,0.018357436887014154,0.9807229310141444,9.19632098841373e-4,1,0,1,0,0.08331853186353502,1.4085598432468313e-5,0.08333261746196749,1.6902863322272214e-4,1.6902863322272214e-4
50.083333333333336,0.9996429090362972,3.3976589161579103e-4,1.732507208706206e-5,0.01825157809765804,0.9808233629242024,9.250589781395008e-4,0.9996447647248409,3.3805436237923953e-4,0.9999828190872201,3.380601705615443e-4,0.08328911397345341,4.205296557187647e-5,0.08333116693902529,5.046487060795307e-4,5.046487060795307e-4
50.166666666666664,0.9996410435855163,3.4148597259554575e-4,1.747044188818463e-5,0.018146323713906735,0.9809231587068812,9.305175792120677e-4,0.999293970638041,6.712168113457959e-4,0.9999651874493868,6.712401789284985e-4,0.08326005910053781,6.961974164918629e-5,0.08332967884218699,8.354735385580315e-4,8.354735385580315e-4
50.25,0.9996391683196,3.432146480429146e-4,1.761703235719857e-5,0.018041670350367342,0.9810223215623617,9.360080872710584e-4,0.9989474477748665,9.99656988234675e-4,0.9999471047631012,9.997098681249796e-4,0.08323135329772359,9.679984184583803e-5,0.08332815313956943,0.0011616703142778692,0.0011616703142778692
50.333333333333336,0.9996372831853514,3.4495196089495933e-4,1.7764853753710077e-5,0.017937614639849758,0.9811208546715422,9.415306886080369e-4,0.9986050313704998,0.001323539216065438,0.9999285705865653,0.0013236337624486921,0.08320298304338947,1.2360674611057042e-4,0.08332658978950004,0.00148340099388234,0.00148340099388234
50.416666666666664,0.9996353881292738,3.466979543024444e-4,1.7913916423657862e-5,0.017834153233277642,0.9812187611961221,9.470855706004088e-4,0.9982665616708476,0.0016430226905882518,0.9999095843614358,0.0016431712589669017,0.08317493522589961,1.5005351476850805e-4,0.08332498874066811,0.0018008225027850739,0.0018008225027850739
50.5,0.9996334830975692,3.4845267163088867e-4,1.8064230800040607e-5,0.017731282799599755,0.9813160442786826,9.526729217177324e-4,0.9979318837507432,0.0019582616638559418,0.9998901454145991,0.001958476811514088,0.08314719712874893,1.761528035205099e-4,0.08332334993226945,0.002114086911576385,0.002114086911576385
50.583333333333336,0.9996315680361347,3.502161564616255e-4,1.8215807403650507e-5,0.0176290000257017,0.9814127070427703,9.582929315280484e-4,0.9976008473392314,0.0022694056206362958,0.9998702529598676,0.002269700107507233,0.08311975641628618,2.0191687785837696e-4,0.08332167329414455,0.002423341609398124,0.002423341609398124
50.666666666666664,0.9996296428905633,3.5198845259286566e-4,1.8368656843813296e-5,0.017527301616317926,0.9815087525929778,9.639457907042636e-4,0.997273306651637,0.002576599447964752,0.9998499060996018,0.002576986237880468,0.08309260111999055,2.273576269203696e-4,0.08331995874691092,0.002728729470581967,0.002728729470581967
50.75,0.9996277076061401,3.5376960404076747e-4,1.852278981913425e-5,0.017426184293943988,0.9816041840150254,9.696316910305644e-4,0.9969491202281362,0.002879983598124119,0.9998291038262603,0.002880475860427215,0.08306571962527877,2.5248657681038755e-4,0.08331820620208916,0.00303038901483283,0.00303038901483283
