age,trans,hazard
50,hu,0.004097001148870259
50,hd,2.0431792255564145e-4
50,uh,0.22248031200389284
50,ud,0.01114144507592648
50.083333333333336,hu,0.004117537452589965
50.083333333333336,hd,2.0602768603029633e-4
50.083333333333336,uh,0.22118628808968097
50.083333333333336,ud,0.011206626767303664
50.166666666666664,hu,0.004138176694960433
50.166666666666664,hd,2.0775175706594585e-4
50.166666666666664,uh,0.2198997906746703
50.166666666666664,ud,0.011272189796367462
50.25,hu,0.004158919391963813
50.25,hd,2.094902553904385e-4
50.25,uh,0.2186207759820883
50.25,ud,0.011338136394088384
50.333333333333336,hu,0.004179766062168598
50.333333333333336,hd,2.1124330173352254e-4
50.333333333333336,uh,0.21734920048978393
50.333333333333336,ud,0.011404468804488964
50.416666666666664,hu,0.004200717226742635
50.416666666666664,hd,2.1301101783523222e-4
50.416666666666664,uh,0.21608502092874637
50.416666666666664,ud,0.011471189284720115
50.5,hu,0.0042217734094661275
50.5,hd,2.147935264543409e-4
50.5,uh,0.2148281942816322
50.5,ud,0.01153830010513798
50.583333333333336,hu,0.00424293513674474
50.583333333333336,hd,2.1659095137688503e-4
50.583333333333336,uh,0.21357867778130243
50.583333333333336,ud,0.011605803549381085
50.666666666666664,hu,0.004264202937622759
50.666666666666664,hd,2.1840341742476244e-4
50.666666666666664,uh,0.21233642890936674
50.666666666666664,ud,0.011673701914448147
50.75,hu,0.004285577343796311
50.75,hd,2.2023105046439933e-4
50.75,uh,0.2111014053947366
50.75,ud,0.011741997510776224
50.833333333333336,hu,0.004307058889626671
50.833333333333336,hd,2.2207397741549166e-4
50.833333333333336,uh,0.2098735652121871
50.833333333333336,ud,0.011810692662319251
50.916666666666664,hu,0.004328648112153593
50.916666666666664,hd,2.2393232625981754e-4
50.916666666666664,uh,0.20865286658092713
50.916666666666664,ud,0.011879789706627206
51,hu,0.004350345551108769
51,hd,2.2580622605012727e-4
51,uh,0.20743926796317683
51,ud,0.011949290994925648
51.083333333333336,hu,0.004372151748929304
51.083333333333336,hd,2.276958069191042e-4
51.083333333333336,uh,0.20623272806275517
51.083333333333336,ud,0.012019198892195677
51.166666666666664,hu,0.0043940672507712785
51.166666666666664,hd,2.2960120008840061e-4
51.166666666666664,uh,0.20503320582367426
51.166666666666664,ud,0.012089515777254397
51.25,hu,0.00441609260452338
51.25,hd,2.3152253787775274e-4
51.25,uh,0.20384066042874188
51.25,ud,0.012160244042835965
51.333333333333336,hu,0.0044382283608206
51.333333333333336,hd,2.3345995371416807e-4
51.333333333333336,uh,0.20265505129817346
51.333333333333336,ud,0.012231386095672911
51.416666666666664,hu,0.004460475073057998
51.416666666666664,hd,2.3541358214119163e-4
51.416666666666664,uh,0.20147633808821058
51.416666666666664,ud,0.01230294435657803
51.5,hu,0.004482833297404543
51.5,hd,2.3738355882824976e-4
51.5,uh,0.20030448068974824
51.5,ud,0.012374921260526863
51.583333333333336,hu,0.004505303592817001
51.583333333333336,hd,2.393700205800699e-4
51.583333333333336,uh,0.19913943922697022
51.583333333333336,ud,0.012447319256740431
51.666666666666664,hu,0.00452788652105393
51.666666666666664,hd,2.413731053461835e-4
51.666666666666664,uh,0.1979811740559923
51.666666666666664,ud,0.01252014080876865
51.75,hu,0.004550582646689713
51.75,hd,2.4339295223050483e-4
51.75,uh,0.19682964576351258
51.75,ud,0.012593388394574138
51.833333333333336,hu,0.004573392537128673
51.833333333333336,hd,2.454297015009895e-4
51.833333333333336,uh,0.19568481516547126
51.833333333333336,ud,0.012667064506616532
51.916666666666664,hu,0.00459631676261926
51.916666666666664,hd,2.474834945993779e-4
51.916666666666664,uh,0.1945466433057168
51.916666666666664,ud,0.01274117165193731
52,hu,0.004619355896268303
52,hd,2.495544741510163e-4
52,uh,0.19341509145468003
52,ud,0.012815712352245098
52.083333333333336,hu,0.0046425105140553485
52.083333333333336,hd,2.516427839747617e-4
52.083333333333336,uh,0.19229012110805696
52.083333333333336,ud,0.01289068914400147
52.166666666666664,hu,0.004665781194847035
52.166666666666664,hd,2.537485690929681e-4
52.166666666666664,uh,0.19117169398549813
52.166666666666664,ud,0.012966104578507272
52.25,hu,0.004689168520411611
52.25,hd,2.558719757415598e-4
52.25,uh,0.19005977202930593
52.25,ud,0.013041961221989425
52.333333333333336,hu,0.0047126730754334205
52.333333333333336,hd,2.580131513801857e-4
52.333333333333336,uh,0.18895431740313984
52.333333333333336,ud,0.013118261655688258
52.416666666666664,hu,0.004736295447527568
52.416666666666664,hd,2.6017224470245803e-4
52.416666666666664,uh,0.187855292490729
52.416666666666664,ud,0.013195008475945335
52.5,hu,0.004760036227254585
52.5,hd,2.623494056462812e-4
52.5,uh,0.1867626598945916
52.5,ud,0.013272204294291804
52.583333333333336,hu,0.004783896008135203
52.583333333333336,hd,2.645447854042624e-4
52.583333333333336,uh,0.1856763824347632
52.583333333333336,ud,0.013349851737537268
52.666666666666664,hu,0.004807875386665186
52.666666666666664,hd,2.667585364342116e-4
52.666666666666664,uh,0.18459642314753105
52.666666666666664,ud,0.013427953447859164
52.75,hu,0.004831974962330245
52.75,hd,2.689908124697292e-4
52.75,uh,0.18352274528417611
52.75,ud,0.01350651208289267
52.833333333333336,hu,0.004856195337621033
52.833333333333336,hd,2.7124176853088056e-4
52.833333333333336,uh,0.1824553123097232
52.833333333333336,ud,0.01358553031582114
52.916666666666664,hu,0.0048805371180481805
52.916666666666664,hd,2.7351156093496394e-4
52.916666666666664,uh,0.18139408790169725
52.916666666666664,ud,0.01366501083546707
53,hu,0.004905000912157481
53,hd,2.758003473073645e-4
53,uh,0.18033903594888742
53,ud,0.01374495634638359
53.083333333333336,hu,0.004929587331545052
53.083333333333336,hd,2.7810828659249914e-4
53.083333333333336,uh,0.17929012055011864
53.083333333333336,ud,0.013825369568946493
53.166666666666664,hu,0.0049542969908726595
53.166666666666664,hd,2.8043553906485736e-4
53.166666666666664,uh,0.17824730601302963
53.166666666666664,ud,0.013906253239446806
53.25,hu,0.004979130507883077
53.25,hd,2.827822663401294e-4
53.25,uh,0.17721055685285825
53.25,ud,0.013987610110183901
53.333333333333336,hu,0.0050040885034155205
53.333333333333336,hd,2.8514863138643076e-4
53.333333333333336,uh,0.17617983779123453
53.333333333333336,ud,0.014069442949559145
53.416666666666664,hu,0.005029171601421179
53.416666666666664,hd,2.875347985356175e-4
53.416666666666664,uh,0.17515511375498
53.416666666666664,ud,0.014151754542170105
53.5,hu,0.00505438042897881
53.5,hd,2.89940933494701e-4
53.5,uh,0.1741363498749137
53.5,ud,0.01423454768890531
53.583333333333336,hu,0.005079715616310418
53.583333333333336,hd,2.923672033573543e-4
53.583333333333336,uh,0.17312351148466654
53.583333333333336,ud,0.014317825207039543
53.666666666666664,hu,0.005105177796796999
53.666666666666664,hd,2.948137766155141e-4
53.666666666666664,uh,0.17211656411950127
53.666666666666664,ud,0.014401589930329708
53.75,hu,0.0051307676069943945
53.75,hd,2.9728082317108487e-4
53.75,uh,0.17111547351513934
53.75,ud,0.01448584470911132
53.833333333333336,hu,0.005156485686649193
53.833333333333336,hd,2.9976851434773547e-4
53.833333333333336,uh,0.17012020560659558
53.833333333333336,ud,0.014570592410395355
53.916666666666664,hu,0.005182332678714725
53.916666666666664,hd,3.0227702290279744e-4
53.916666666666664,uh,0.16913072652701883
53.916666666666664,ud,0.01465583591796594
54,hu,0.005208309229367137
54,hd,3.048065230392624e-4
54,uh,0.16814700260653928
54,ud,0.01474157813247847
54.083333333333336,hu,0.00523441598802155
54.083333333333336,hd,3.073571904178775e-4
54.083333333333336,uh,0.16716900037112303
54.083333333333336,ud,0.014827821971558198
