age,HH,HU,HD,UH,UU,UD,lh,lu,lx,prevalence_point,Lh,Lu,Lx,prevalence_interval,prevalence
50,0.9960046192915709,0.0037594631787500206,2.3591752967920115e-4,0.19234221890774028,0.7973423125512915,0.010315468540968207,1,0,1,0,0.9980023096457855,0.0018797315893750103,0.9998820412351606,0.0018799533463497015,0.0018799533463497015
51,0.9957205847612822,0.004017853038621489,2.61562200096313e-4,0.18050305267740144,0.8083610752405433,0.011135872082055203,0.9960046192915709,0.0037594631787500206,0.9997640824703209,0.003760350311306192,0.9942127579088524,0.005400133531176648,0.9996128914400291,0.005402224778631343,0.005402224778631343
52,0.9954181264985619,0.0042918606992821615,2.9001280215602105e-4,0.16930814000488656,0.8186761737163152,0.012015686278798253,0.992420896526134,0.007040803883603276,0.9994617004097373,0.007044595986736502,0.9907433557269367,0.00853213725493273,0.9992754929818695,0.008538323330108462,0.008538323330108462
53,0.9950960326968662,0.004582388600150136,3.2157870298372515e-4,0.15873249922516383,0.8283084390637024,0.012959061711133788,0.9890658149277395,0.010023470626262184,0.9990892855540017,0.010032607466813242,0.9874361669909213,0.011429139924912683,0.998865306915834,0.011442123223001999,0.011442123223001999
54,0.9947530063808591,0.004890389952989216,3.5660366615173635e-4,0.14875074388114598,0.8372788211836537,0.013970434935200478,0.985806519054103,0.01283480922356318,0.9986413282776662,0.012852271241066181,0.9841748525062995,0.01420105072837935,0.9983759032346788,0.01422415212783961,0.01422415212783961
55,0.9943876593072395,0.005216870986553947,3.9546970620664207e-4,0.1393373253526573,0.8456081279758304,0.015054546671512323,0.9825431859584961,0.015567292233195522,0.9981104781916916,0.015596762656373749,0.9808705548373997,0.016928461058011914,0.9977990158954116,0.016965802519679312,0.016965802519679312
56,0.9939985054069518,0.005562893215736253,4.386013773120197e-4,0.13046674092433239,0.8533167981386567,0.016216460937010867,0.9791979237163033,0.01828962988282831,0.9974875535991317,0.01833569733961664,0.9774526923957121,0.019671825890144455,0.9971245182858566,0.019728554989262553,0.019728554989262553
57,0.9935839537326883,0.005929575722511133,4.8647054480052e-4,0.12211371036478788,0.8604247044970377,0.017461585138174595,0.9757074610751207,0.021054021897460598,0.9967614829725814,0.021122427237730397,0.9738628613343113,0.02247747687026065,0.996340338204572,0.022560038983030214,0.022560038983030214
58,0.9931423008729946,0.006318097433184674,5.39601693820688e-4,0.11425332403900192,0.8669509848249957,0.018795691136002456,0.9720182615935019,0.02390093184306071,0.9959191934365627,0.023998866575296235,0.9700507376568701,0.02538158716310991,0.99543232481998,0.025498053991465538,0.025498053991465538
59,0.9926717227915153,0.006729699373263019,5.985778352217934e-4,0.10686116547285217,0.8729138972412667,0.020224937285881223,0.9680832137202382,0.02686224248315911,0.9949454562033974,0.026998708638423737,0.9659712879142093,0.028412788127206493,0.9943840760414158,0.02857325334524274,0.02857325334524274
